Study ID,title,doi,Slot,O,C,E,A,N,Physics insertion,Claim boundary
S046,Computational Ocean Acoustics,10.1007/978-1-4419-8678-8,2,,,,,,,
S047,Ocean Acoustic Tomography,10.1017/CBO9780511666926,1,,,,,,,
S047,Ocean Acoustic Tomography,10.1017/CBO9780511666926,2,,,,,,,
S048,A Survey of Underwater Vehicle Navigation: Recent Advances and New Challenges,,1,,,,,,,
S048,A Survey of Underwater Vehicle Navigation: Recent Advances and New Challenges,,2,,,,,,,
S049,Visually Augmented Navigation for Autonomous Underwater Vehicles,10.1109/JOE.2008.923547,1,O2,C1,E0,A0,N2,inference,B_DEVELOPER_TO_INDEPENDENT
S049,Visually Augmented Navigation for Autonomous Underwater Vehicles,10.1109/JOE.2008.923547,2,,,,,,,
S050,Learning Nonlinear Operators via DeepONet Based on the Universal Approximation Theorem of Operators,10.1038/s42256-021-00302-5,1,O0,C0,E1,A0,N0,none,B_SIMULATION_TO_FIELD
S050,Learning Nonlinear Operators via DeepONet Based on the Universal Approximation Theorem of Operators,10.1038/s42256-021-00302-5,2,,,,,,,
S051,Fourier Neural Operator for Parametric Partial Differential Equations,,1,O0,C0,E1,A0,N2,none,B_SIMULATION_TO_FIELD
S051,Fourier Neural Operator for Parametric Partial Differential Equations,,2,,,,,,,
S052,Neural Operator: Learning Maps Between Function Spaces with Applications to PDEs,,1,O0,C0,E1,A0,N2,none,B_SIMULATION_TO_FIELD
S052,Neural Operator: Learning Maps Between Function Spaces with Applications to PDEs,,2,,,,,,,
S053,FourCastNet: A Global Data-Driven High-Resolution Weather Model Using Adaptive Fourier Neural Operators,10.48550/arXiv.2202.11214,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S053,FourCastNet: A Global Data-Driven High-Resolution Weather Model Using Adaptive Fourier Neural Operators,10.48550/arXiv.2202.11214,2,O0,C0,E1,A0,N1,none,B_OFFLINE_TO_OPERATIONAL
S054,Accurate Medium-Range Global Weather Forecasting with 3D Neural Networks,10.1038/s41586-023-06185-3,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S054,Accurate Medium-Range Global Weather Forecasting with 3D Neural Networks,10.1038/s41586-023-06185-3,2,,,,,,,
S055,Learning Skillful Medium-Range Global Weather Forecasting,10.1126/science.adi2336,1,O0,C0,E1,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S055,Learning Skillful Medium-Range Global Weather Forecasting,10.1126/science.adi2336,2,,,,,,,
S056,Neural General Circulation Models for Weather and Climate,10.1038/s41586-024-07744-y,1,O0,C2;C3,E1,A0,N0,representation;solver_coupling,B_OFFLINE_TO_OPERATIONAL
S056,Neural General Circulation Models for Weather and Climate,10.1038/s41586-024-07744-y,2,O0,C2;C3,E2,A0,N2,representation;solver_coupling,B_SIMULATION_TO_FIELD
S057,A Foundation Model for the Earth System,10.1038/s41586-025-09005-y,1,O1,C0,E1,A0,N2,none,B_OFFLINE_TO_OPERATIONAL
S057,A Foundation Model for the Earth System,10.1038/s41586-025-09005-y,2,,,,,,,
S058,ClimaX: A Foundation Model for Weather and Climate,,1,O1,C0,E1,A0,N2,none,B_OFFLINE_TO_OPERATIONAL
S058,ClimaX: A Foundation Model for Weather and Climate,,2,O1,C0,E2,A0,N2,none,B_SIMULATION_TO_FIELD
S059,The Ensemble Kalman Filter: Theoretical Formulation and Practical Implementation,10.1007/s10236-003-0036-9,1,O2,C1,E0,A0,N0,inference,B_SIMULATION_TO_FIELD
S059,The Ensemble Kalman Filter: Theoretical Formulation and Practical Implementation,10.1007/s10236-003-0036-9,2,,,,,,,
S060,ECCO Version 4: An Integrated Framework for Non-Linear Inverse Modeling and Global Ocean State Estimation,10.5194/gmd-8-3071-2015,1,O2,C1,E0,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S060,ECCO Version 4: An Integrated Framework for Non-Linear Inverse Modeling and Global Ocean State Estimation,10.5194/gmd-8-3071-2015,2,,,,,,,
S061,The Copernicus Global 1/12 Degree Oceanic and Sea Ice GLORYS12 Reanalysis,10.3389/feart.2021.698876,1,O2,C1,E0,A0,N0,inference,B_OFFLINE_TO_OPERATIONAL
S061,The Copernicus Global 1/12 Degree Oceanic and Sea Ice GLORYS12 Reanalysis,10.3389/feart.2021.698876,2,,,,,,,
S062,EN4: Quality Controlled Ocean Temperature and Salinity Profiles and Monthly Objective Analyses with Uncertainty Estimates,10.1002/2013JC009067,1,O2,C1,E0,A0,N1,inference,B_OFFLINE_TO_OPERATIONAL
S062,EN4: Quality Controlled Ocean Temperature and Salinity Profiles and Monthly Objective Analyses with Uncertainty Estimates,10.1002/2013JC009067,2,,,,,,,
S063,Samudra: An AI Global Ocean Emulator for Climate,10.1029/2024GL114318,1,O0,C0,E2,A0,N2,none,B_SIMULATION_TO_FIELD
S063,Samudra: An AI Global Ocean Emulator for Climate,10.1029/2024GL114318,2,,,,,,,
S064,GLONET: Mercator's End-to-End Neural Global Ocean Forecasting System,10.1029/2025JH000686,1,O0,C0,E1,A0,N0,none,B_DEVELOPER_TO_INDEPENDENT
S064,GLONET: Mercator's End-to-End Neural Global Ocean Forecasting System,10.1029/2025JH000686,2,,,,,,,
S065,Accurate Mediterranean Sea Forecasting via Graph-Based Deep Learning,10.1038/s41598-025-31177-w,1,O0,C2,E2,A0,N2,representation,B_OFFLINE_TO_OPERATIONAL
S065,Accurate Mediterranean Sea Forecasting via Graph-Based Deep Learning,10.1038/s41598-025-31177-w,2,,,,,,,
S066,NeuralOM: Neural Ocean Model for Subseasonal-to-Seasonal Simulation,10.1609/aaai.v40i17.38495,1,O0,C2,E1,A0,N0,representation,B_OFFLINE_TO_OPERATIONAL
S066,NeuralOM: Neural Ocean Model for Subseasonal-to-Seasonal Simulation,10.1609/aaai.v40i17.38495,2,,,,,,,
S067,Njord: A Probabilistic Graph Neural Network for Ensemble Ocean Forecasting,10.48550/arXiv.2605.15470,1,O0,C2,E1,A0,N1;N2,representation,B_OFFLINE_TO_OPERATIONAL
S067,Njord: A Probabilistic Graph Neural Network for Ensemble Ocean Forecasting,10.48550/arXiv.2605.15470,2,,,,,,,
S068,Data-Driven Ensemble Prediction of the Global Ocean,10.48550/arXiv.2603.19591,1,O0,C2,E2,A0,N1,representation,B_OFFLINE_TO_OPERATIONAL
S068,Data-Driven Ensemble Prediction of the Global Ocean,10.48550/arXiv.2603.19591,2,,,,,,,
S069,Ocean Wave Forecasting with Deep Learning as Alternative to Conventional Models,10.1029/2025MS005285,1,O1,C0,E2,A0,N0,none,B_OFFLINE_TO_OPERATIONAL
S069,Ocean Wave Forecasting with Deep Learning as Alternative to Conventional Models,10.1029/2025MS005285,2,,,,,,,
S070,Benchmarking of Machine Learning Ocean Subgrid Parameterizations in an Idealized Model,10.1029/2022MS003258,1,O0,C3,E1,A0,N2,solver_coupling,B_SIMULATION_TO_FIELD
S070,Benchmarking of Machine Learning Ocean Subgrid Parameterizations in an Idealized Model,10.1029/2022MS003258,2,,,,,,,
S071,Stochastic-Deep Learning Parameterization of Ocean Momentum Forcing,10.1029/2021MS002534,1,O0,C0,E0,A0,N1,none,B_SIMULATION_TO_FIELD
S071,Stochastic-Deep Learning Parameterization of Ocean Momentum Forcing,10.1029/2021MS002534,2,O0,C3,E1,A0,N2,solver_coupling,B_SIMULATION_TO_FIELD
S072,Physical Invariance in Neural Networks for Subgrid-Scale Scalar Flux Modeling,10.1103/PhysRevFluids.6.024607,1,O0,C2,E0,A0,N2,representation,B_SIMULATION_TO_FIELD
S072,Physical Invariance in Neural Networks for Subgrid-Scale Scalar Flux Modeling,10.1103/PhysRevFluids.6.024607,2,O0,C2;C3,E1,A0,N2,representation;solver_coupling,B_SIMULATION_TO_FIELD
S073,A Stable Implementation of a Data-Driven Scale-Aware Mesoscale Parameterization,10.1029/2023MS004104,1,O0,C2;C3,E1,A0,N2,representation;solver_coupling,B_SIMULATION_TO_FIELD
S073,A Stable Implementation of a Data-Driven Scale-Aware Mesoscale Parameterization,10.1029/2023MS004104,2,,,,,,,
S074,Combining Data Assimilation and Machine Learning to Emulate a Dynamical Model from Sparse and Noisy Observations: A Case Study with the Lorenz 96 Model,10.1016/j.jocs.2020.101171,1,O2,C1;C3,E3,A0,N2,inference;solver_coupling,B_SIMULATION_TO_FIELD
S074,Combining Data Assimilation and Machine Learning to Emulate a Dynamical Model from Sparse and Noisy Observations: A Case Study with the Lorenz 96 Model,10.1016/j.jocs.2020.101171,2,,,,,,,
S075,Sampling-Based Robotic Information Gathering Algorithms,10.1177/0278364914533443,1,O3,C0,E2,A1,N0,none,B_SIMULATION_TO_FIELD
S075,Sampling-Based Robotic Information Gathering Algorithms,10.1177/0278364914533443,2,,,,,,,
S076,"Stonefish: An Advanced Open-Source Simulation Tool Designed for Marine Robotics, with a ROS Interface",10.1109/OCEANSE.2019.8867434,1,,,,,,,
S076,"Stonefish: An Advanced Open-Source Simulation Tool Designed for Marine Robotics, with a ROS Interface",10.1109/OCEANSE.2019.8867434,2,,,,,,,
S077,HoloOcean: An Underwater Robotics Simulator,10.1109/ICRA46639.2022.9812353,1,,,,,,,
S077,HoloOcean: An Underwater Robotics Simulator,10.1109/ICRA46639.2022.9812353,2,,,,,,,
S078,Stonefish: Supporting Machine Learning Research in Marine Robotics,10.1109/ICRA55743.2025.11127421,1,,,,,,,
S078,Stonefish: Supporting Machine Learning Research in Marine Robotics,10.1109/ICRA55743.2025.11127421,2,,,,,,,
S079,SWellEx-96 Experimental Data Archive,,1,,,,,,,
S079,SWellEx-96 Experimental Data Archive,,2,,,,,,,
S080,Passive Acoustic Data Collection,10.25921/PF0H-SQ72,1,,,,,,,
S080,Passive Acoustic Data Collection,10.25921/PF0H-SQ72,2,,,,,,,
S081,The GEBCO\_2026 Grid: A Continuous Terrain Model for Oceans and Land at 15 Arc-Second Intervals,10.5285/4f68d5c7-45eb-f999-e063-7086abc036fa,1,,,,,,,
S081,The GEBCO\_2026 Grid: A Continuous Terrain Model for Oceans and Land at 15 Arc-Second Intervals,10.5285/4f68d5c7-45eb-f999-e063-7086abc036fa,2,,,,,,,
S082,Marine Data Store and Global Ocean Products,,1,,,,,,,
S082,Marine Data Store and Global Ocean Products,,2,,,,,,,
S083,The FAIR Guiding Principles for Scientific Data Management and Stewardship,10.1038/sdata.2016.18,1,,,,,,,
S083,The FAIR Guiding Principles for Scientific Data Management and Stewardship,10.1038/sdata.2016.18,2,,,,,,,
S084,Datasheets for Datasets,10.1145/3458723,1,,,,,,,
S084,Datasheets for Datasets,10.1145/3458723,2,,,,,,,
S085,Model Cards for Model Reporting,10.1145/3287560.3287596,1,,,,,,,
S085,Model Cards for Model Reporting,10.1145/3287560.3287596,2,,,,,,,
S086,Improving Reproducibility in Machine Learning Research: A Report from the NeurIPS 2019 Reproducibility Program,,1,,,,,,,
S086,Improving Reproducibility in Machine Learning Research: A Report from the NeurIPS 2019 Reproducibility Program,,2,,,,,,,
S087,Simple and Scalable Predictive Uncertainty Estimation Using Deep Ensembles,,1,O0,C0,E0,A0,N1;N2,none,B_OFFLINE_TO_OPERATIONAL
S087,Simple and Scalable Predictive Uncertainty Estimation Using Deep Ensembles,,2,,,,,,,
S088,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty under Dataset Shift,,1,O0,C0,E0,A0,N1;N2,none,B_OFFLINE_TO_OPERATIONAL
S088,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty under Dataset Shift,,2,,,,,,,
S089,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,,1,O0,C0,E0,A0,N2,none,B_OFFLINE_TO_OPERATIONAL
S089,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,,2,,,,,,,
S090,Guidelines for Snowballing in Systematic Literature Studies and a Replication in Software Engineering,10.1145/2601248.2601268,1,,,,,,,
S090,Guidelines for Snowballing in Systematic Literature Studies and a Replication in Software Engineering,10.1145/2601248.2601268,2,,,,,,,
S091,Literature Review as a Research Methodology: An Overview and Guidelines,10.1016/j.jbusres.2019.07.039,1,,,,,,,
S091,Literature Review as a Research Methodology: An Overview and Guidelines,10.1016/j.jbusres.2019.07.039,2,,,,,,,
S092,A Framework for Hybrid Physics--AI Coupled Ocean Models,10.48550/arXiv.2510.22676,1,O0,C2;C3,E1,A0,N2,representation;solver_coupling,B_SIMULATION_TO_FIELD
S092,A Framework for Hybrid Physics--AI Coupled Ocean Models,10.48550/arXiv.2510.22676,2,O0,C3,E2,A0,N0,solver_coupling,B_SIMULATION_TO_FIELD
S093,Applications of Deep Learning in Physical Oceanography: A Comprehensive Review,10.3389/fmars.2024.1396322,1,,,,,,,
S093,Applications of Deep Learning in Physical Oceanography: A Comprehensive Review,10.3389/fmars.2024.1396322,2,,,,,,,
S094,"Deep Learning for Ocean Forecasting: A Comprehensive Review of Methods, Applications, and Datasets",10.1109/TCYB.2025.3539990,1,,,,,,,
S094,"Deep Learning for Ocean Forecasting: A Comprehensive Review of Methods, Applications, and Datasets",10.1109/TCYB.2025.3539990,2,,,,,,,
S095,"AI for Atmosphere--Ocean Sciences: Advancements, Challenges and Ways Forward",10.1093/nsr/nwag063,1,,,,,,,
S095,"AI for Atmosphere--Ocean Sciences: Advancements, Challenges and Ways Forward",10.1093/nsr/nwag063,2,,,,,,,
S096,A Survey on World Models Grounded in Acoustic Physical Information,10.48550/arXiv.2506.13833,1,,,,,,,
S096,A Survey on World Models Grounded in Acoustic Physical Information,10.48550/arXiv.2506.13833,2,,,,,,,
S097,Nonlinear Acoustic Computing and Reinforcement Learning for Robust Human--Robot Audition in Challenging Environments,10.1121/2.0002158,1,O2,C2,E2,A2,N2,representation,B_SIMULATION_TO_FIELD
S097,Nonlinear Acoustic Computing and Reinforcement Learning for Robust Human--Robot Audition in Challenging Environments,10.1121/2.0002158,2,,,,,,,
S098,A Physics-Informed Acoustic World Model for Challenging Scene Denoising and Dynamic Prediction,10.1121/10.0040518,1,O2,C1;C3,E0,A0,N2,objective_or_projection;solver_coupling,B_SIMULATION_TO_FIELD
S098,A Physics-Informed Acoustic World Model for Challenging Scene Denoising and Dynamic Prediction,10.1121/10.0040518,2,O2,C1;C3,E1,A0,N2,objective_or_projection;solver_coupling,B_SIMULATION_TO_FIELD
S099,SonarKAN: Sonar Kolmogorov--Arnold Network for Disentangling Passive Sonar Signatures,10.21203/rs.3.rs-8942861/v1,1,O0,C1;C2,E0,A0,N2,objective_or_projection;representation,B_OFFLINE_TO_OPERATIONAL
S099,SonarKAN: Sonar Kolmogorov--Arnold Network for Disentangling Passive Sonar Signatures,10.21203/rs.3.rs-8942861/v1,2,,,,,,,
S100,Physics-Gated Streaming Multi-Task Speech Front-End for Reliability-Weighted Teleconference Affect Aggregation,10.1109/ACCESS.2026.3687928,1,O2,C2,E0,A0,N2,representation,B_OFFLINE_TO_OPERATIONAL
S100,Physics-Gated Streaming Multi-Task Speech Front-End for Reliability-Weighted Teleconference Affect Aggregation,10.1109/ACCESS.2026.3687928,2,O2,C2,E0,A0,N2,representation,B_OFFLINE_TO_OPERATIONAL
S101,The State of the Art in Underwater Acoustic Telemetry,10.1109/48.820733,1,,,,,,,
S101,The State of the Art in Underwater Acoustic Telemetry,10.1109/48.820733,2,,,,,,,
S102,Underwater Acoustic Communications and Networking: Recent Advances and Future Challenges,10.4031/002533208786861263,1,,,,,,,
S102,Underwater Acoustic Communications and Networking: Recent Advances and Future Challenges,10.4031/002533208786861263,2,,,,,,,
S103,Acoustic Propagation Considerations for Underwater Acoustic Communications Network Development,10.1145/1347364.1347370,1,,,,,,,
S103,Acoustic Propagation Considerations for Underwater Acoustic Communications Network Development,10.1145/1347364.1347370,2,,,,,,,
S104,Physics-Informed Neural Networks for Underwater Acoustic Propagation Modeling: A Review,10.3390/electronics15020480,1,,,,,,,
S104,Physics-Informed Neural Networks for Underwater Acoustic Propagation Modeling: A Review,10.3390/electronics15020480,2,,,,,,,
S105,Research on Intelligent Predicting Method of Underwater Acoustic Field Based on Physics-Informed Neural Network,10.3389/fmars.2025.1665305,1,O0,C1,E0,A0,N0,objective_or_projection,B_SIMULATION_TO_FIELD
S105,Research on Intelligent Predicting Method of Underwater Acoustic Field Based on Physics-Informed Neural Network,10.3389/fmars.2025.1665305,2,,,,,,,
S106,Principles of Sonar Performance Modeling,10.1007/978-3-540-87662-5,1,,,,,,,
S106,Principles of Sonar Performance Modeling,10.1007/978-3-540-87662-5,2,,,,,,,
S107,Machine Learning in Acoustics: Theory and Applications,10.1121/1.5133944,1,,,,,,,
S107,Machine Learning in Acoustics: Theory and Applications,10.1121/1.5133944,2,,,,,,,
