configuration_id,study_id,citation_key,title,configuration_label,claim_endpoint,evaluation_setting,extraction_decision,extraction_basis,supported_claim,claim_boundary_code,unsupported_claim,source_section,source_page,source_evidence,anchor_url,anchor_basis,locator_status,verified_on,O_levels,C_levels,E_levels,A_levels,N_levels,physics_insertion,O_evidence_summary,C_evidence_summary,E_evidence_summary,A_evidence_summary,N_evidence_summary
S032-C01,S032,cui2025wenhai,Forecasting the Eddying Ocean with a Deep Neural Network,WenHai eddying-ocean forecast,eddy-resolving ocean forecast skill,D,single,single evaluated endpoint and setting,eddy-resolving ocean forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Results—WenHai model; Forecast performance; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: eddy-resolving ocean forecast skill.,https://doi.org/10.1038/s41467-025-57389-2,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S033-C01,S033,niu2026fuxiocean,A Deep Learning Global Ocean Forecasting Model with Sub-Daily and Eddy-Resolving Resolution,FuXi-Ocean global forecast,sub-daily eddy-resolving global ocean forecast skill,D,single,single evaluated endpoint and setting,sub-daily eddy-resolving global ocean forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Results—FuXi-Ocean design and forecast evaluation; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: sub-daily eddy-resolving global ocean forecast skill.,https://doi.org/10.1038/s41612-026-01444-2,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S034-C01,S034,jia2025oceanforecastbench,OceanForecastBench: A Benchmark Dataset for Data-Driven Global Ocean Forecasting,OceanForecastBench benchmark,benchmark forecast skill against satellite and in-situ verification,D,single,single evaluated endpoint and setting,benchmark forecast skill against satellite and in-situ verification,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Benchmark construction; Evaluation protocol; Experiments,HTML n.p. (stable named section),"The abstract defines a global ocean forecasting benchmark with GLORYS training data, satellite/in-situ verification, six baseline models, and multi-perspective evaluation.",https://doi.org/10.48550/arXiv.2511.18732,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C0,E1,A0,N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S035-C01,S035,elaouni2025oceanbench,OceanBench: A Benchmark for Data-Driven Global Ocean Forecasting Systems,OceanBench benchmark,standardized global ocean forecasting benchmark,D,single,single evaluated endpoint and setting,standardized global ocean forecasting benchmark,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Dataset and benchmark design; Evaluation protocol; Experiments,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: standardized global ocean forecasting benchmark.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0d1635dfa43efe7477f9b6dab3168fd8-Abstract-Datasets_and_Benchmarks_Track.html,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C0,E1,A0,N2,none,O0: gridded or single-source observations,C0: no computation-altering physical insertion established,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S043-C01,S043,guo2025orcadl,Data-Driven Global Ocean Modeling for Seasonal to Decadal Prediction,ORCA-DL seasonal-to-decadal ocean model,seasonal-to-decadal global ocean simulation and extreme-event skill,D,single,single evaluated endpoint and setting,seasonal-to-decadal global ocean simulation and extreme-event skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Results—ORCA-DL formulation and simulations; Materials and Methods,HTML n.p. (stable named section),"Full-text methods and evaluation report a data-driven 3-D ocean model, stable decadal emulation, and evaluation on climate variability and extreme events.",https://doi.org/10.1126/sciadv.adu2488,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S044-C01,S044,kim2026kistocean,Data-Driven Global Ocean Model Resolving Atmospherically Forced Ocean Dynamics,KIST-Ocean forced-ocean simulation,global ocean dynamics under atmospheric forcing,D,single,single evaluated endpoint and setting,global ocean dynamics under atmospheric forcing,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Results—Forced-ocean response experiments; Materials and Methods,HTML n.p. (stable named section),"The source reports a global 3-D data-driven ocean model evaluated for responses to atmospheric forcing, including wave propagation and wind-stress-driven vertical motion.",https://doi.org/10.1126/sciadv.aed1225,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S049-C01,S049,eustice2008van,Visually Augmented Navigation for Autonomous Underwater Vehicles,visually augmented AUV navigation,AUV navigation using visual observations,F,single,single evaluated endpoint and setting,AUV navigation using visual observations,B_DEVELOPER_TO_INDEPENDENT,Boundary: developer-run field evidence.,Visual navigation formulation; Experimental results,published pp. 103–122 (section-located),"The evaluated VAN endpoint is multisensor state estimation/navigation: camera-derived relative-pose constraints are fused into the navigation inference, while no executed closed-loop control benefit is required for the retained claim.",https://doi.org/10.1109/JOE.2008.923547,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O2,C1,E0,A0,N0,inference,"O2: irregular, delayed, or provenance-aware observations","C1: constraint in the objective, projection, or inference step",E0: state reconstruction or same-time inference,A0: passive analysis,N0: aggregate or in-domain evaluation
S050-C01,S050,lu2021deeponet,Learning Nonlinear Operators via DeepONet Based on the Universal Approximation Theorem of Operators,DeepONet operator learning,operator-learning PDE solution accuracy,D,single,single evaluated endpoint and setting,operator-learning PDE solution accuracy,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,DeepONet formulation; Numerical experiments; Methods,published pp. 218–229 (section-located),"DeepONet explicitly represents operator inputs and output-domain coordinates and is evaluated on differential-equation operators; this supports a physically described domain plus operator-aware representation, not online solver coupling.",https://doi.org/10.1038/s42256-021-00302-5,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E0,A0,N0,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,N0: aggregate or in-domain evaluation
S051-C01,S051,li2021fno,Fourier Neural Operator for Parametric Partial Differential Equations,Fourier neural operator PDE evaluation,parametric PDE solution-operator accuracy including super-resolution,D,single,single evaluated endpoint and setting,parametric PDE solution-operator accuracy including super-resolution,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 3 Fourier neural operator; Sec. 5 Experiments,HTML n.p. (stable named section),"Full-text methods and evaluation report Fourier-space operator parameterization and experiments on Burgers, Darcy, and Navier-Stokes, including zero-shot super-resolution.",https://openreview.net/forum?id=c8P9NQVtmnO,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E0,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S052-C01,S052,kovachki2023neuraloperator,Neural Operator: Learning Maps Between Function Spaces with Applications to PDEs,neural-operator PDE evaluation,neural-operator approximation across PDE problems,D,single,single evaluated endpoint and setting,neural-operator approximation across PDE problems,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Neural-operator formulation; Approximation and discretization; Experiments,published pp. 1–97 (section-located),"The neural-operator formulation maps between function spaces, is discretization invariant, and is evaluated on PDE solution operators; C0 and C2 are explicit without implying C1 or C3.",https://jmlr.org/papers/v24/21-1524.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E0,A0,N0,representation,O0: gridded or single-source observations,C2: physics-structured representation,E0: state reconstruction or same-time inference,A0: passive analysis,N0: aggregate or in-domain evaluation
S053-C01,S053,pathak2022fourcastnet,FourCastNet: A Global Data-Driven High-Resolution Weather Model Using Adaptive Fourier Neural Operators,FourCastNet forecast,global high-resolution weather forecast skill,D,single,single evaluated endpoint and setting,global high-resolution weather forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Model architecture and training; Global forecast experiments,HTML n.p. (stable named section),Full-text methods and evaluation report global 0.25-degree forecasting with adaptive Fourier neural operators and severe-event evaluation.,https://doi.org/10.48550/arXiv.2202.11214,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S054-C01,S054,bi2023pangu,Accurate Medium-Range Global Weather Forecasting with 3D Neural Networks,Pangu-Weather forecast,medium-range global weather forecast skill,D,single,single evaluated endpoint and setting,medium-range global weather forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Pangu-Weather architecture; Global forecast performance; Methods,published pp. 533–538 (section-located),The cited full-text method and evaluation report the retained endpoint: medium-range global weather forecast skill.,https://doi.org/10.1038/s41586-023-06185-3,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S055-C01,S055,lam2023graphcast,Learning Skillful Medium-Range Global Weather Forecasting,GraphCast forecast,medium-range global weather forecast skill including severe events,D,single,single evaluated endpoint and setting,medium-range global weather forecast skill including severe events,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,GraphCast model; Evaluation; Materials and Methods,published pp. 1416–1421 (section-located),"Full-text methods and evaluation report 10-day global forecasts and verification on tropical cyclones, atmospheric rivers, and extreme temperatures.",https://doi.org/10.1126/science.adi2336,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S056-C01,S056,kochkov2024neuralgcm,Neural General Circulation Models for Weather and Climate,NeuralGCM hybrid forecast/simulation,"weather, ensemble-weather, and climate simulation skill",D,single,single evaluated endpoint and setting,"weather, ensemble-weather, and climate simulation skill",B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,NeuralGCM formulation; Forecast and climate-simulation results; Methods,published pp. 1060–1066 (section-located),"The source reports a differentiable atmospheric dynamics solver coupled with ML components and evaluates deterministic, ensemble-weather, and climate simulations; CRPS and spread-skill diagnostics support N1 in addition to named-regime N2 tests.",https://doi.org/10.1038/s41586-024-07744-y,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C3,E1,A0,N1;N2,solver_coupling,O0: gridded or single-source observations,C3: online solver coupling,E1: forecasting or emulation,A0: passive analysis,"N1: calibrated uncertainty; N2: shift, regime, fault, or recovery evaluation"
S057-C01,S057,bodnar2025aurora,A Foundation Model for the Earth System,Aurora Earth-system forecasting,multi-domain Earth-system forecasting after foundation-model adaptation,D,single,single evaluated endpoint and setting,multi-domain Earth-system forecasting after foundation-model adaptation,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Aurora architecture; Downstream evaluations; Methods,published pp. 1180–1187 (section-located),Full-text methods and evaluation report pretraining on diverse Earth-system data and downstream evaluation on several forecasting domains.,https://doi.org/10.1038/s41586-025-09005-y,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O1,C2,E1,A0,N2,representation,O1: multimodal observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S058-C01,S058,nguyen2023climax,ClimaX: A Foundation Model for Weather and Climate,ClimaX foundation-model evaluation,weather/climate downstream task performance across heterogeneous variables and scales,D,single,single evaluated endpoint and setting,weather/climate downstream task performance across heterogeneous variables and scales,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 3 ClimaX; Sec. 4 Experiments,published pp. 25904–25938 (section-located),"Full-text methods and evaluation report heterogeneous datasets, multiple physical variables and spatiotemporal scales, and fine-tuning to tasks including unseen scales.",https://proceedings.mlr.press/v202/nguyen23a.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O1,C2,E1,A0,N2,representation,O1: multimodal observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S059-C01,S059,evensen2003enkf,The Ensemble Kalman Filter: Theoretical Formulation and Practical Implementation,EnKF state estimation,ensemble data-assimilation state estimation,D,single,single evaluated endpoint and setting,ensemble data-assimilation state estimation,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Ensemble Kalman filter formulation and implementation; Applications,published pp. 343–367 (section-located),"The paper presents the ensemble Kalman filter formulation and implementation, where an ensemble represents state uncertainty during data assimilation.",https://doi.org/10.1007/s10236-003-0036-9,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O2,C0,E0,A0,N1,none,"O2: irregular, delayed, or provenance-aware observations",C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,N1: calibrated uncertainty
S060-C01,S060,forget2015ecco,ECCO Version 4: An Integrated Framework for Non-Linear Inverse Modeling and Global Ocean State Estimation,ECCO global state estimate,global ocean state estimation constrained by observations and dynamics,D,single,single evaluated endpoint and setting,global ocean state estimation constrained by observations and dynamics,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 2 Framework and data; Sec. 3 Estimation; Results and validation,published pp. 3071–3104 (section-located),The source describes an integrated nonlinear inverse-modeling framework for global ocean state estimation.,https://doi.org/10.5194/gmd-8-3071-2015,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O2,C1,E0,A0,N1,inference,"O2: irregular, delayed, or provenance-aware observations","C1: constraint in the objective, projection, or inference step",E0: state reconstruction or same-time inference,A0: passive analysis,N1: calibrated uncertainty
S061-C01,S061,lellouche2021glorys,The Copernicus Global 1/12 Degree Oceanic and Sea Ice GLORYS12 Reanalysis,GLORYS12 reanalysis,global ocean and sea-ice reanalysis,D,single,single evaluated endpoint and setting,global ocean and sea-ice reanalysis,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Materials and Methods—System and observations; Results—Quality assessment,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: global ocean and sea-ice reanalysis.,https://doi.org/10.3389/feart.2021.698876,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O2,C0,E0,A0,N0,none,"O2: irregular, delayed, or provenance-aware observations",C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,N0: aggregate or in-domain evaluation
S062-C01,S062,good2013en4,EN4: Quality Controlled Ocean Temperature and Salinity Profiles and Monthly Objective Analyses with Uncertainty Estimates,EN4 profile analysis,quality-controlled profile analysis with uncertainty estimates,D,single,single evaluated endpoint and setting,quality-controlled profile analysis with uncertainty estimates,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Sec. 2 Profile data; Sec. 3 Analysis method; Uncertainty evaluation,published pp. 6704–6716 (section-located),"Full-text methods and evaluation report quality-controlled temperature/salinity profiles, monthly objective analyses, and uncertainty estimates.",https://doi.org/10.1002/2013JC009067,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O2,C0,E0,A0,N1,none,"O2: irregular, delayed, or provenance-aware observations",C0: no computation-altering physical insertion established,E0: state reconstruction or same-time inference,A0: passive analysis,N1: calibrated uncertainty
S063-C01,S063,dheeshjith2025samudra,Samudra: An AI Global Ocean Emulator for Climate,Samudra climate emulator,century-scale global ocean climate emulation,D,single,single evaluated endpoint and setting,century-scale global ocean climate emulation,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Model and forcing formulation; Long-term simulation results; Methods,HTML n.p. (stable named section),Full-text methods and evaluation report a global ocean emulator stable for centuries and explicitly identifies a trend-forcing limitation.,https://doi.org/10.1029/2024GL114318,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S064-C01,S064,elaouni2025glonet,GLONET: Mercator's End-to-End Neural Global Ocean Forecasting System,GLONET global forecast,end-to-end global ocean forecast skill,D,single,single evaluated endpoint and setting,end-to-end global ocean forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Model architecture and training; Global forecast results,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: end-to-end global ocean forecast skill.,https://doi.org/10.1029/2025JH000686,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S065-C01,S065,holmberg2025seacast,Accurate Mediterranean Sea Forecasting via Graph-Based Deep Learning,SeaCast regional forecast,Mediterranean Sea forecast skill,D,single,single evaluated endpoint and setting,Mediterranean Sea forecast skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,Model and data; Regional forecast evaluation; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: Mediterranean Sea forecast skill.,https://doi.org/10.1038/s41598-025-31177-w,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
S066-C01,S066,gao2026neuralom,NeuralOM: Neural Ocean Model for Subseasonal-to-Seasonal Simulation,NeuralOM ocean simulation,subseasonal-to-seasonal ocean simulation skill,D,single,single evaluated endpoint and setting,subseasonal-to-seasonal ocean simulation skill,B_OFFLINE_TO_OPERATIONAL,Boundary: offline/hindcast.,NeuralOM method; Ocean-simulation experiments,published pp. 14756–14764 (section-located),The cited full-text method and evaluation report the retained endpoint: subseasonal-to-seasonal ocean simulation skill.,https://doi.org/10.1609/aaai.v40i17.38495,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18,O0,C2,E1,A0,N2,representation,O0: gridded or single-source observations,C2: physics-structured representation,E1: forecasting or emulation,A0: passive analysis,"N2: shift, regime, fault, or recovery evaluation"
